"Time","RPS-testing","CPU-testing","p95-testing","replicas-testing","RPS-rl-agent-e1-a2c","CPU-rl-agent-e1-a2c","p95-rl-agent-e1-a2c","replicas-rl-agent-e1-a2c","memory-rl-agent-e1-a2c","RPS-rl-agent-e1-ppo","CPU-rl-agent-e1-ppo","p95-rl-agent-e1-ppo","replicas-rl-agent-e1-ppo","memory-rl-agent-e1-ppo","RPS-rl-agent-e3-1","CPU-rl-agent-e3-1","p95-rl-agent-e3-1","replicas-rl-agent-e3-1","memory-rl-agent-e3-1","RPS-rl-agent-e3-2","CPU-rl-agent-e3-2","p95-rl-agent-e3-2","replicas-rl-agent-e3-2","memory-rl-agent-e3-2","RPS-default","CPU-default","p95-default","replicas-default","memory-default","dep_RPS-testing","dep_RPS-default","dep_RPS-rl-agent-e1-a2c","dep_RPS-rl-agent-e1-ppo","dep_RPS-rl-agent-e3-1","dep_RPS-rl-agent-e3-2"
2023-07-24 11:46:00,623,84.9,4.56,4,462,68.7,4.38,3,0.783,357,58.8,4.41,4,0.690,592,78.8,4.40,3,0.642,436,65.0,4.20,4,0.552,507,71.2,4.13,5,0.493,2492,2535,1386,1430,1776,1743
2023-07-24 11:47:00,623,83.9,4.58,4,461,68.6,4.38,3,0.652,357,59.2,4.43,4,0.567,589,78.8,4.41,3,0.520,443,64.5,4.15,4,0.628,503,71.6,4.11,5,0.494,2492,2514,1384,1427,1767,1773
2023-07-24 11:48:00,622,84.8,4.59,4,449,67.9,4.34,3,0.463,356,59.6,4.44,4,0.604,578,77.8,4.36,3,0.640,444,65.4,4.16,4,0.690,503,69.5,4.12,5,0.483,2486,2513,1347,1426,1733,1775
2023-07-24 11:49:00,625,84.1,4.54,4,455,67.7,4.31,3,0.487,353,58.7,4.38,4,0.625,576,78.4,4.37,3,0.648,435,64.0,4.19,4,0.647,505,70.9,4.04,5,0.448,2499,2526,1365,1413,1727,1741
2023-07-24 11:50:00,621,83.8,4.63,4,454,68.3,4.41,3,0.581,358,56.6,4.42,4,0.586,585,77.4,4.30,3,0.582,441,63.5,4.15,4,0.748,508,70.9,4.03,5,0.573,2483,2540,1363,1431,1754,1762
2023-07-24 11:51:00,628,84.5,4.68,4,453,69.3,4.50,3,0.677,349,58.6,4.43,4,0.691,589,79.1,4.35,3,0.687,432,63.9,4.22,4,0.603,506,71.0,4.09,5,0.538,2511,2530,1359,1396,1768,1726
2023-07-24 11:52:00,634,87.2,4.64,4,457,69.5,4.41,3,0.621,346,57.4,4.41,4,0.573,577,78.4,4.38,3,0.557,431,64.6,4.25,4,0.546,506,71.0,4.06,5,0.465,2535,2532,1372,1382,1731,1725
2023-07-24 11:53:00,631,86.4,4.59,4,447,68.3,4.42,3,0.674,347,57.1,4.45,4,0.497,579,78.3,4.34,3,0.504,436,64.7,4.22,4,0.511,512,71.4,4.11,5,0.445,2525,2561,1340,1386,1738,1743
2023-07-24 11:54:00,632,85.6,4.57,4,448,66.2,4.33,3,0.391,342,57.7,4.40,4,0.603,574,78.2,4.33,3,0.528,435,64.7,4.20,4,0.549,514,71.4,4.07,5,0.481,2528,2570,1345,1369,1722,1738
2023-07-24 11:55:00,633,85.8,4.57,4,438,65.1,4.35,3,0.477,345,56.3,4.42,4,0.551,574,79.0,4.28,3,0.576,430,64.2,4.17,4,0.562,511,71.2,4.04,5,0.660,2530,2557,1315,1379,1723,1720
